id,year,grid,midden,locx,locy,sex,taglft,tagrt,squirrel_id,Date,obs,width,length,no_quad,total_new,total_old,total_cones,area_quad,total_newopen,total_newclosed,experiment,new_squirrel_id,date,midden_area,midden_cones
2944,2023,KL,-610,-6,10,F,M7639,S6543,25753,2023-09-14 00:00:00,BLS,5.7,5.9,8,2,2392,2394,0.09,,,,,2023-09-14T06:00:00Z,26.4129402350562,87823.0262815618
2945,2023,KL,-513,-5,13,F,M9982,M9983,25917,2023-09-22 00:00:00,NKH,4.4,7.3,8,0,1062,1062,0.09,,,,,2023-09-22T06:00:00Z,25.226989008326,37209.8087872809
2946,2023,KL,-110,-1,10,F,M8357,M8359,100051,2023-09-21 00:00:00,NKH,7.2,8.9,8,0,518,518,0.09,,,,,2023-09-21T06:00:00Z,50.3283143105085,36208.4261289492
2947,2023,KL,-38,-3,8,F,M9728,M9729,25837,2023-09-22 00:00:00,NKH,3.6,3.9,8,1,2509,2510,0.09,,,,,2023-09-22T06:00:00Z,11.0269902141002,38441.3131074881
2948,2023,KL,-27,-2,7,F,M8452,M8453,100103,2023-09-21 00:00:00,NKH,4.8,7.1,8,23,259,282,0.09,,,,,2023-09-21T06:00:00Z,26.766369408585,10483.4946850291
2949,2023,KL,-7.9,-7.5,9,F,M8364,M9906,25983,2023-09-21 00:00:00,SB,4.8,5.2,8,0,1003,1003,0.09,,,,,2023-09-21T06:00:00Z,19.6035381584003,27308.8177401049
2950,2023,KL,-4.13,-4.5,13,F,M7662,-,25854,2023-09-22 00:00:00,NKH,4.6,5.7,8,0,801,801,0.09,,,,,2023-09-22T06:00:00Z,20.5931398442811,22909.8680767627
2951,2023,KL,-2.5,-2.5,5,F,M9747,M9748,25835,2023-09-22 00:00:00,NKH,2.8,3.2,8,0,29,29,0.09,,,,,2023-09-22T06:00:00Z,7.03716754404114,283.441470523879
2952,2023,KL,-1.8.,-1.5,8.5,F,M8443,M8444,100227,2023-09-21 00:00:00,NKH,6.9,6.7,8,6,1120,1126,0.09,,,,,2023-09-21T06:00:00Z,36.308957093864,56783.1745662374
2953,2023,KL,A10.,A.0,10.5,F,M7664,M7665,25852,2023-09-20 00:00:00,SB,4.2,5.9,8,0,160,160,0.09,,,,,2023-09-20T06:00:00Z,19.4621664889888,4324.92588644195
2954,2023,KL,C.19,C.5,19,F,M8485,M8486,100233,2023-09-20 00:00:00,NKH,3.3,5,8,0,125,125,0.09,,,,,2023-09-20T06:00:00Z,12.9590696960579,2249.83848889894
2955,2023,KL,C13,C.0,13,F,S6548 ,M7699,25914,2023-09-20 00:00:00,NKH,4,5.1,8,1,528,529,0.09,,,,,2023-09-20T06:00:00Z,16.0221225333079,11771.8094723888
2956,2023,KL,C2.,C.0,2.5,F,M6359,M5169,24256,2023-09-16 00:00:00,NKH,3.7,5.8,8,0,321,321,0.09,,,,,2023-09-16T06:00:00Z,16.8546445865092,7514.36237815204
2957,2023,KL,F17,F.0,17,F,M7860,M7861,25186,2023-09-19 00:00:00,SB,3.9,5.6,8,1,297,298,0.09,,,,,2023-09-19T06:00:00Z,17.1530958886003,7099.47579833733
2958,2023,KL,F17,F.0,17,F,M7627,-,25611,,,,,,,,,0.09,,,,,,,
2959,2023,KL,F3,F.0,3,F,-,M9449,25863,2023-09-15 00:00:00,NKH,5.65,7,8,6,470,476,0.09,,,,,2023-09-15T06:00:00Z,31.0624973623691,20535.7621451218
2960,2023,KL,F6.,F.0,6.5,F,M9836,M9837,26017,2023-09-15 00:00:00,NKH,5.7,7,8,0,80,80,0.09,,,,,2023-09-15T06:00:00Z,31.3373867195582,3481.93185772869
2961,2023,KL,F6.,F.0,6.5,F,M6568,M6569,24471,,,,,,,,,0.09,,,,,,,
2962,2023,KL,H.3.,H.5,3.5,F,M7971,M7972,25736,2023-09-16 00:00:00,NKH,6.5,6.3,8,0,1545,1545,0.09,,,,,2023-09-16T06:00:00Z,32.1620547911255,69014.4092392902
2963,2023,KL,H12,H.0,12,F,M9102,M7593,25239,2023-09-15 00:00:00,BLS,3.9,4.95,8,0,125,125,0.09,,,,,2023-09-15T06:00:00Z,15.1621115443877,2632.31103201176
2964,2023,KL,H4.,H.0,4.5,F,M7385,M7859,25275,2023-09-16 00:00:00,NKH,5.2,5.9,8,5,860,865,0.09,,,,,2023-09-16T06:00:00Z,24.0960156530337,28948.6854720475
2965,2023,KL,I.16,I.5,16,F,M8456,M8331,25605,2023-09-19 00:00:00,SB,3,5.3,8,2,1715,1717,0.09,,,,,2023-09-19T06:00:00Z,12.4878307980194,29780.007611388
2966,2023,KL,I17.,I.0,17.5,F,M8332,M8333,25604,2023-09-22 00:00:00,SB,4,4.2,8,28,1369,1397,0.09,,,,,2023-09-22T06:00:00Z,13.1946891450771,25601.3621328788
2967,2023,KL,I21,I.0,21,F,M7868,M7869,25174,2023-09-19 00:00:00,SB,4.8,4.8,8,0,1277,1277,0.09,,,,,2023-09-19T06:00:00Z,18.0955736846772,32094.5105490733
2968,2023,KL,J.6.,J.5,6.5,F,M6152,M4223,24002,2023-09-16 00:00:00,NKH,4.2,5.5,8,1,274,275,0.09,,,,,2023-09-16T06:00:00Z,18.1426975744811,6929.50254580874
2969,2023,KL,J.9,J.5,9,F,M7473,M7474,25513,2023-09-19 00:00:00,NKH,4.8,11.1,8,0,515,515,0.09,,,,,2023-09-19T06:00:00Z,41.846014145816,29931.5240070768
2970,2023,KL,J11,J.0,11,F,M7475,M7476,25514,2023-09-14 00:00:00,SB,6.4,8.6,8,0,467,467,0.09,,,,,2023-09-14T06:00:00Z,43.2283149133956,28038.3653674385
2971,2023,KL,L.12,L.5,12,F,M8423,M8421,100004,2023-09-18 00:00:00,BLS,4.6,5.4,8,9,54,63,0.09,,,,,2023-09-18T06:00:00Z,19.5092903787926,1707.06290814435
2972,2023,KL,L.17,L.5,17,F,M8670,M8671,100264,2023-09-18 00:00:00,BLS,3.8,3.9,8,0,21,21,0.09,,,,,2023-09-18T06:00:00Z,11.6396007815502,339.488356128547
2973,2023,KL,L11,L.0,11,F,M8543,M8544,25970,2023-09-18 00:00:00,BLS,5.1,9.7,8,0,298,298,0.09,,,,,2023-09-18T06:00:00Z,38.8536471432718,16081.0928454097
2974,2023,KL,L9,L.0,9,F,M9828,M9829,25999,2023-09-19 00:00:00,NKH,2,2,8,0,20,20,0.09,,,,,2023-09-19T06:00:00Z,3.14159265358979,87.2664625997165
2975,2023,KL,M.12.,M.5,12.5,F,M9978,M9979,25881,2023-09-14 00:00:00,BLS,4.3,5.9,8,0,340,340,0.09,,,,,2023-09-14T06:00:00Z,19.9255514053933,9409.28816365793
2976,2023,KL,M.8,M.5,8,F,M8270,M8271,100071,2023-09-17 00:00:00,NKH,2,6.6,8,0,9,9,0.09,,,,,2023-09-17T06:00:00Z,10.3672557568463,129.590696960579
2977,2023,KL,M7,M.0,7,F,M8445,M8446,100185,2023-09-17 00:00:00,NKH,2.2,2.5,8,1,147,148,0.09,,,,,2023-09-17T06:00:00Z,4.31968989868597,887.936256952115
2978,2023,KL,N1.,N.0,1.5,F,M9498,-,25862,2023-09-12 00:00:00,BLS,5,6.2,8,0,808,808,0.09,,,,,2023-09-12T06:00:00Z,24.3473430653209,27323.1294399712
2979,2023,KL,N6,N.0,6,F,M8672,M8673,100263,2023-09-17 00:00:00,NKH,2.2,3.5,8,1,21,22,0.09,,,,,2023-09-17T06:00:00Z,6.04756585816035,184.7867345549
2980,2023,KL,O.2,O.5,2,F,M7935,M7936,25290,2023-09-17 00:00:00,NKH,3.9,6.5,8,9,2259,2268,0.09,,,,,2023-09-17T06:00:00Z,19.9098434421253,62716.0068426947
2981,2023,KL,O.2.,O.5,2.5,F,M9976,M9977,25823,2023-09-17 00:00:00,NKH,3.8,5.5,8,6,898,904,0.09,,,,,2023-09-17T06:00:00Z,16.4148216150067,20609.720472175
3100,2023,KL,-0.12,-0.5,12,F,S6535,M7661,25913,2023-09-20 00:00:00,NKH,2.6,2.7,8,0,56,56,0.09,,,,,2023-09-20T06:00:00Z,5.51349510705009,428.827397215007
3103,2023,KL,G10.,G.0,10.5,F,M7963,M7964,25902,2023-09-19 00:00:00,SB,3.2,3.4,8,0,93,93,0.09,,,,,2023-09-19T06:00:00Z,8.54513201776424,1103.74621896121
3104,2023,KL,H1,H.0,1,F,M9630,M9631,100104,2023-09-15 00:00:00,NKH,4.75,6.3,8,0,164,164,0.09,,,,100104,2023-09-15T06:00:00Z,23.5030400396686,5353.47023125786
