midden,sex,taglft,tagrt,cone_category,,,
-310,M,M8361,M8362,High cones,,,
-59,M,M8409,M9852,High cones,,,
05.,M,M9972,M9973,High cones,,,
A8,M,M9176,M9177,High cones,,,
B.10.,M,M7649,M7650,High cones,,,
E1,M,-,M9373,High cones,,,
I5,M,M7478,M7479,High cones,,,
-512,M,M6875,M6874,Medium cones,,,
-114,M,M8360,M8361,Medium cones,,,
A3.,M,M9306,M9307,Medium cones,,,
E11,M,M6221,M6222,Medium cones,,,
H9,M,S6537,M9165,Medium cones,,,
J1,M,M7403,M7404,Medium cones,,,
J14,M,M9955,M9956,Medium cones,,,
D.5.,M,M9168,M9169,Medium cones,,,
,,,,,,,
,,,,,,,
