id,year,grid,midden,locx,locy,sex,taglft,tagrt,squirrel_id,Date,obs,width,length,no_quad,total_new,total_old,total_cones,area_quad,total_newopen,total_newclosed,experiment,new_squirrel_id,date,midden_area,midden_cones
3024,2023,KL,-512,-5,12,M,M6875,M6874,24835,2023-09-22 00:00:00,NKH,6.4,8,8,0,701,701,0.09,,,,,2023-09-22T06:00:00Z,40.2123859659494,39151.2257807368
3025,2023,KL,-310,-3,10,M,M8361,M8362,100049,2023-09-21 00:00:00,NKH,4.9,9.1,8,2,1046,1048,0.09,,,,,2023-09-21T06:00:00Z,35.0209041058922,50974.8715319098
3026,2023,KL,-114,-1,14.5,M,M8360,M8361,100050,2023-09-21 00:00:00,NKH,4.9,5.8,8,4,242,246,0.09,,,,,2023-09-21T06:00:00Z,22.3210158037555,7626.34706628312
3027,2023,KL,-59,-5,9,M,M8409,M9852,25704,2023-09-14 00:00:00,BLS,7.35,6.6,8,3,3198,3201,0.09,,,,,2023-09-14T06:00:00Z,38.0996649064102,169384.760229749
3028,2023,KL,-55,-5,5,M,M9749,M9750,25838,2023-09-22 00:00:00,NKH,1.6,3.2,8,2,11,13,0.09,,,,,2023-09-22T06:00:00Z,4.02123859659494,72.6056968829641
3029,2023,KL,-53,-5,3,M,M9347,M9348,100187,2023-09-22 00:00:00,NKH,4.4,5.9,8,0,102,102,0.09,,,,,2023-09-22T06:00:00Z,20.3889363217978,2888.43264558802
3030,2023,KL,-14,-1,4,M,M8487,M8488,100232,2023-09-19 00:00:00,NKH,4.1,8.1,8,11,116,127,0.09,,,,,2023-09-19T06:00:00Z,26.0830730064293,4600.76426641183
3031,2023,KL,-8.12,-8.5,12,M,-,M9239,25583,2023-09-21 00:00:00,SB,5.1,7.6,8,0,2368,2368,0.09,,,,,2023-09-21T06:00:00Z,30.4420328132851,100120.463474804
3032,2023,KL,-7.6,-7.5,6,M,F7100,M6225,25982,2023-09-21 00:00:00,SB,5.1,6.5,8,2,2143,2145,0.09,,,,,2023-09-21T06:00:00Z,26.0359491166254,77565.4317432799
3033,2023,KL,-6.9,-6.5,9,M,M9147,M9148,25992,2023-09-14 00:00:00,BLS,4.2,5.5,8,22,340,362,0.09,,,,,2023-09-14T06:00:00Z,18.1426975744811,9121.74516939186
3034,2023,KL,-4.1,4.5,10,M,M8674,M8675,100262,2023-09-21 00:00:00,SB,4.7,6,8,0,176,176,0.09,,,,,2023-09-21T06:00:00Z,22.148228207808,5414.01133968641
3035,2023,KL,5,0,5.5,M,M9972,M9973,26032,2023-09-19 00:00:00,NKH,5.7,9.3,8,0,1656,1656,0.09,,,,,2023-09-19T06:00:00Z,41.6339566416987,95758.1002759071
3036,2023,KL,-7.12.,-7.5,12.5,M,M9137,M9138,25974,2023-09-21 00:00:00,SB,4.5,6.2,8,0,2348,2348,0.09,,,,,2023-09-21T06:00:00Z,21.9126087587888,71459.4518967168
3037,2023,KL,A3.,A.0,3.5,M,M9306,M9307,25488,2023-09-16 00:00:00,NKH,6.7,6.8,8,3,709,712,0.09,,,,,2023-09-16T06:00:00Z,35.7827403243877,35385.1543207834
