"squirrel_id_trap","gr","locx_trap","locy_trap","sex_trap","rep_con","year","squirrel_id_census","sex_census","intruder"
718,"LL","D.0",2.5,"M",0,1990,1021,"M",1
718,"LL","D.0",2.5,"M",0,1990,1021,"M",1
724,"LL","F.0",4.5,"F",0,1990,2252,"M",1
724,"LL","F.0",4.5,"F",0,1990,2252,"M",1
729,"LL","A.5",13.5,"F",0,1990,729,"F",0
729,"LL","A.5",13.5,"F",0,1990,2419,"F",1
754,"LL","F.5",15.5,"F",0,1990,754,"F",0
755,"LL","L.5",17.5,"M",0,1990,755,"M",0
864,"LL","L.0",2.5,"M",0,1990,1025,"M",1
864,"LL","L.0",2.5,"M",0,1990,1025,"M",1
1180,"LL","I.0",10.5,"F",0,1990,1219,"F",1
1180,"LL","I.0",10.5,"F",0,1990,1180,"F",0
1186,"LL","M.5",0.5,"F",0,1990,1245,"F",1
1651,"LL","D.0",17.5,"F",0,1990,1651,"F",0
1735,"LL","Q.5",4.5,"F",0,1990,1735,"F",0
719,"LL","D.0",2.5,"F",0,1990,1021,"M",1
719,"LL","D.0",2.5,"F",0,1990,1021,"M",1
1245,"LL","M.5",0.5,"F",0,1990,1245,"F",0
1929,"LL","L.0",2.5,"F",0,1990,1025,"M",1
1929,"LL","L.0",2.5,"F",0,1990,1025,"M",1
1252,"SU","I.0",2.5,"M",0,1990,879,"F",1
1252,"SU","I.0",2.5,"M",0,1990,879,"F",1
1252,"SU","I.0",2.5,"M",0,1990,1464,"M",1
1258,"SU","I.0",1.5,"M",0,1990,852,"F",1
1935,"SU","A.5",6.5,"F",0,1990,1935,"F",0
981,"KL","I.0",10.5,"F",0,1990,1219,"F",1
981,"KL","I.0",10.5,"F",0,1990,1180,"F",1
984,"KL","-1.0",4.5,"M",0,1990,1289,"M",1
984,"KL","-1.0",4.5,"M",0,1990,1289,"M",1
1073,"KL","A.0",4.5,"M",0,1990,1397,"F",1
1073,"KL","A.0",4.5,"M",0,1990,1397,"F",1
1094,"KL","G.0",3.5,"M",0,1990,848,"F",1
1181,"KL","A.0",10.5,"F",0,1990,1181,"F",0
1289,"KL","0.0",4.5,"M",0,1990,1289,"M",0
1397,"KL","A.0",5.5,"F",0,1990,1397,"F",0
1464,"KL","I.0",2.5,"M",0,1990,879,"F",1
1464,"KL","I.0",2.5,"M",0,1990,879,"F",1
1464,"KL","I.0",2.5,"M",0,1990,1464,"M",0
1944,"KL","0.5",6.5,"F",0,1990,898,"M",1
835,"SU","O.0",1.5,"F",0,1990,835,"F",0
835,"SU","O.0",1.5,"F",0,1990,835,"F",0
872,"SU","J.5",10.5,"F",0,1990,872,"F",0
872,"SU","J.5",10.5,"F",0,1990,872,"F",0
1355,"SU","B.5",4.5,"F",0,1990,1355,"F",0
1935,"SU","A.5",6.5,"F",0,1990,1935,"F",0
2295,"SU","G.0",9.5,"F",0,1990,2295,"F",0
2295,"SU","G.0",9.5,"F",0,1990,2295,"F",0
724,"LL","F.0",3.5,"F",0,1990,2252,"M",1
724,"LL","F.0",3.5,"F",0,1990,2252,"M",1
1274,"LL","F.5",15.5,"F",0,1990,754,"F",1
1348,"LL","B.5",17.5,"F",0,1990,1348,"F",0
1651,"LL","D.0",17.5,"F",0,1990,1651,"F",0
1731,"LL","F.0",12.5,"F",0,1990,1045,"M",1
2252,"LL","D.0",2.5,"M",0,1990,1021,"M",1
2252,"LL","D.0",2.5,"M",0,1990,1021,"M",1
724,"LL","D.0",2.5,"F",0,1990,1021,"M",1
724,"LL","D.0",2.5,"F",0,1990,1021,"M",1
1181,"KL","A.0",10.5,"F",0,1990,1181,"F",0
1289,"KL","0.0",4.5,"M",0,1990,1289,"M",0
1289,"KL","0.0",4.5,"M",0,1990,1289,"M",0
1397,"KL","0.5",6.5,"F",0,1990,898,"M",1
1944,"KL","-1.0",4.5,"F",0,1990,1289,"M",1
1944,"KL","-1.0",4.5,"F",0,1990,1289,"M",1
835,"SU","O.0",1.5,"F",0,1990,835,"F",0
835,"SU","O.0",1.5,"F",0,1990,835,"F",0
852,"SU","I.0",1.5,"F",0,1990,852,"F",0
872,"SU","J.5",10.5,"F",0,1990,872,"F",0
872,"SU","J.5",10.5,"F",0,1990,872,"F",0
879,"SU","I.0",2.5,"F",0,1990,879,"F",0
879,"SU","I.0",2.5,"F",0,1990,879,"F",0
879,"SU","I.0",2.5,"F",0,1990,1464,"M",1
2295,"SU","G.0",9.5,"F",0,1990,2295,"F",0
2295,"SU","G.0",9.5,"F",0,1990,2295,"F",0
1355,"SU","B.5",4.5,"F",0,1990,1355,"F",0
1517,"SU","D.5",16.5,"F",0,1990,1517,"F",0
1517,"SU","D.5",16.5,"F",0,1990,1517,"F",0
981,"KL","I.0",10.5,"F",0,1990,1219,"F",1
981,"KL","I.0",10.5,"F",0,1990,1180,"F",1
1218,"KL","F.5",0.5,"F",0,1990,822,"M",1
1301,"KL","F.5",10.5,"M",0,1990,1088,"M",1
1464,"KL","I.0",2.5,"M",0,1990,879,"F",1
1464,"KL","I.0",2.5,"M",0,1990,879,"F",1
1464,"KL","I.0",2.5,"M",0,1990,1464,"M",0
1465,"KL","I.0",11.5,"M",0,1990,981,"F",1
1944,"KL","0.0",5.5,"F",0,1990,1944,"F",0
879,"SU","I.0",2.5,"F",0,1990,879,"F",0
879,"SU","I.0",2.5,"F",0,1990,879,"F",0
879,"SU","I.0",2.5,"F",0,1990,1464,"M",1
915,"SU","D.5",16.5,"M",0,1990,1517,"F",1
915,"SU","D.5",16.5,"M",0,1990,1517,"F",1
1135,"SU","C.5",6.5,"M",0,1990,1135,"M",0
1135,"SU","C.5",6.5,"M",0,1990,1135,"M",0
1935,"SU","A.5",6.5,"F",0,1990,1935,"F",0
2576,"SU","G.5",14.5,"M",0,1990,1262,"M",1
2576,"SU","G.5",14.5,"M",0,1990,1262,"M",1
1094,"KL","G.0",3.5,"M",0,1990,848,"F",1
729,"LL","A.5",13.5,"F",0,1990,729,"F",0
729,"LL","A.5",13.5,"F",0,1990,2419,"F",1
1230,"LL","A.0",0.5,"M",0,1990,1230,"M",0
1906,"SU","L.5",8.5,"M",0,1990,1906,"M",0
1906,"SU","L.5",8.5,"M",0,1990,1906,"M",0
1935,"SU","B.0",7.5,"F",0,1990,1232,"M",1
1935,"SU","B.0",7.5,"F",0,1990,1232,"M",1
1937,"SU","N.0",7.5,"F",0,1990,1257,"M",1
730,"FL","A.0",2.5,"M",0,1990,1241,"M",1
1944,"KL","0.0",5.5,"F",0,1990,1944,"F",0
872,"SU","L.0",10.5,"F",0,1990,872,"F",0
872,"SU","L.0",10.5,"F",0,1990,872,"F",0
1562,"SU","M.0",4.5,"M",0,1990,1562,"M",0
881,"KL","B.0",9.5,"F",0,1990,694,"M",1
905,"KL","B.5",5.5,"M",0,1990,905,"M",0
1073,"KL","C.0",2.5,"M",0,1990,1874,"M",1
1207,"KL","E.5",8.5,"M",0,1990,1207,"M",0
1289,"KL","A.0",4.5,"M",0,1990,1397,"F",1
1289,"KL","A.0",4.5,"M",0,1990,1397,"F",1
1397,"KL","B.0",4.5,"F",0,1990,1073,"M",1
2755,"KL","B.5",10.5,"M",0,1990,1095,"M",1
2755,"KL","B.5",10.5,"M",0,1990,1077,"M",1
1230,"LL","A.0",0.5,"M",0,1990,1230,"M",0
1245,"LL","0.5",12.5,"F",0,1990,2755,"M",1
1245,"LL","0.5",12.5,"F",0,1990,2755,"M",1
1651,"LL","B.5",17.5,"F",0,1990,1348,"F",1
828,"SU","H.5",10.5,"M",0,1990,828,"M",0
872,"SU","L.0",10.5,"F",0,1990,872,"F",0
872,"SU","L.0",10.5,"F",0,1990,872,"F",0
879,"SU","I.0",2.5,"F",0,1990,879,"F",0
879,"SU","I.0",2.5,"F",0,1990,879,"F",0
879,"SU","I.0",2.5,"F",0,1990,1464,"M",1
1906,"SU","L.5",8.5,"M",0,1990,1906,"M",0
1906,"SU","L.5",8.5,"M",0,1990,1906,"M",0
981,"KL","I.0",11.5,"F",0,1990,981,"F",0
1088,"KL","G.5",9.5,"M",0,1990,1088,"M",0
1092,"KL","D.5",5.5,"M",0,1990,1092,"M",0
1224,"KL","J.5",6.5,"M",0,1990,1224,"M",0
1874,"KL","C.0",2.5,"M",0,1990,1874,"M",0
1874,"KL","C.0",2.5,"M",0,1990,1874,"M",0
2755,"KL","0.5",12.5,"M",0,1990,2755,"M",0
2755,"KL","0.5",12.5,"M",0,1990,2755,"M",0
1645,"LL","P.0",1.5,"M",0,1990,1645,"M",0
928,"SU","G.0",5.5,"M",0,1990,860,"M",1
1178,"SU","E.0",10.5,"F",0,1990,1178,"F",0
1178,"SU","E.0",10.5,"F",0,1990,1178,"F",0
1232,"SU","B.0",7.5,"M",0,1990,1232,"M",0
1232,"SU","B.0",7.5,"M",0,1990,1232,"M",0
1251,"SU","B.0",1.5,"M",0,1990,1251,"M",0
1654,"SU","B.0",7.5,"M",0,1990,1232,"M",1
1654,"SU","B.0",7.5,"M",0,1990,1232,"M",1
1689,"SU","B.0",9.5,"F",0,1990,694,"M",1
848,"KL","G.0",3.5,"F",0,1990,848,"F",0
905,"KL","A.0",5.5,"M",0,1990,1397,"F",1
1218,"KL","D.0",0.5,"F",0,1990,1218,"F",0
1289,"KL","-1.0",4.5,"M",0,1990,1289,"M",0
1289,"KL","-1.0",4.5,"M",0,1990,1289,"M",0
1944,"KL","0.0",5.5,"F",0,1990,1944,"F",0
1030,"LL","Q.0",7.5,"M",0,1990,1030,"M",0
1030,"LL","Q.0",7.5,"M",0,1990,1030,"M",0
1034,"LL","S.0",5.5,"M",0,1990,1034,"M",0
1041,"LL","O.0",15.5,"F",0,1990,1041,"F",0
1180,"LL","J.0",8.5,"F",0,1990,1282,"M",1
1230,"LL","A.0",0.5,"M",0,1990,1230,"M",0
1245,"LL","M.5",0.5,"F",0,1990,1245,"F",0
1268,"LL","S.5",1.5,"F",0,1990,1268,"F",0
1645,"LL","P.0",1.5,"M",0,1990,1645,"M",0
1735,"LL","P.5",5.5,"F",0,1990,1735,"F",0
1735,"LL","P.5",5.5,"F",0,1990,1735,"F",0
2565,"LL","K.5",17.5,"M",0,1990,2565,"M",0
828,"SU","H.5",10.5,"M",0,1990,828,"M",0
835,"SU","O.0",1.5,"F",0,1990,835,"F",0
835,"SU","O.0",1.5,"F",0,1990,835,"F",0
860,"SU","G.0",5.5,"M",0,1990,860,"M",0
732,"AG","M.0",2.5,"F",0,1990,1025,"M",1
1018,"AG","Q.5",4.5,"M",0,1990,1735,"F",1
981,"KL","F.5",10.5,"F",0,1990,1088,"M",1
1020,"LL","G.5",3.5,"M",0,1990,1020,"M",0
1032,"LL","H.5",4.5,"F",0,1990,2410,"M",1
852,"SU","I.0",1.5,"F",0,1990,852,"F",0
984,"SU","I.0",2.5,"M",0,1990,879,"F",1
984,"SU","I.0",2.5,"M",0,1990,879,"F",1
984,"SU","I.0",2.5,"M",0,1990,1464,"M",1
1181,"KL","A.0",10.5,"F",0,1990,1181,"F",0
1397,"KL","A.0",5.5,"F",0,1990,1397,"F",0
729,"LL","A.5",13.5,"F",0,1990,729,"F",0
